p_noshow,p_denial,appointment_value,noshow_loss,denial_loss,total_expected_loss,risk_score,risk_tier
0.6405,0.277,2223.58,1424.17,221.46,1645.62,74.0,CRITICAL
0.5649,0.277,2223.58,1256.03,268.03,1524.07,68.5,HIGH
0.4363,0.277,2223.58,970.13,347.24,1317.37,59.2,MODERATE
0.6725,0.277,2223.58,1495.25,201.77,1697.02,76.3,CRITICAL
0.335,0.277,2223.58,745.01,409.6,1154.61,51.9,LOW
0.5517,0.277,2223.58,1226.67,276.17,1502.84,67.6,HIGH
0.3982,0.277,2223.58,885.37,370.72,1256.08,56.5,MODERATE
0.3719,0.277,2223.58,826.86,386.93,1213.78,54.6,LOW
0.3334,0.277,2223.58,741.44,410.59,1152.03,51.8,LOW
0.4996,0.277,2223.58,1110.89,308.24,1419.13,63.8,MODERATE
0.389,0.277,2223.58,864.91,376.38,1241.3,55.8,MODERATE
0.4178,0.277,2223.58,928.98,358.63,1287.62,57.9,MODERATE
0.5298,0.277,2223.58,1178.02,289.65,1467.66,66.0,HIGH
0.6127,0.277,2223.58,1362.47,238.55,1601.02,72.0,CRITICAL
0.4133,0.277,2223.58,918.92,361.42,1280.34,57.6,MODERATE
0.5472,0.277,2223.58,1216.69,278.93,1495.63,67.3,HIGH
0.3847,0.277,2223.58,855.36,379.03,1234.39,55.5,MODERATE
0.3758,0.277,2223.58,835.52,384.53,1220.05,54.9,LOW
0.3356,0.277,2223.58,746.24,409.26,1155.5,52.0,LOW
0.4122,0.277,2223.58,916.6,362.07,1278.66,57.5,MODERATE
0.4544,0.277,2223.58,1010.37,336.09,1346.46,60.6,MODERATE
0.4938,0.277,2223.58,1098.06,311.8,1409.85,63.4,MODERATE
0.4286,0.277,2223.58,953.07,351.96,1305.03,58.7,MODERATE
0.5972,0.277,2223.58,1328.02,248.09,1576.11,70.9,HIGH
0.4411,0.277,2223.58,980.82,344.28,1325.09,59.6,MODERATE
0.4052,0.277,2223.58,901.0,366.39,1267.39,57.0,MODERATE
0.4225,0.277,2223.58,939.48,355.73,1295.21,58.2,MODERATE
0.4191,0.277,2223.58,932.01,357.8,1289.81,58.0,MODERATE
0.4867,0.277,2223.58,1082.28,316.17,1398.45,62.9,MODERATE
0.5464,0.277,2223.58,1215.07,279.38,1494.46,67.2,HIGH
0.5591,0.277,2223.58,1243.22,271.58,1514.8,68.1,HIGH
0.4518,0.277,2223.58,1004.71,337.66,1342.37,60.4,MODERATE
0.57,0.277,2223.58,1267.38,264.89,1532.27,68.9,HIGH
0.3804,0.277,2223.58,845.78,381.69,1227.46,55.2,MODERATE
0.4606,0.277,2223.58,1024.28,332.24,1356.52,61.0,MODERATE
0.4941,0.277,2223.58,1098.59,311.65,1410.24,63.4,MODERATE
0.6812,0.277,2223.58,1514.61,196.4,1711.01,76.9,CRITICAL
0.7248,0.277,2223.58,1611.65,169.52,1781.17,80.1,CRITICAL
0.4613,0.277,2223.58,1025.76,331.83,1357.59,61.1,MODERATE
0.4474,0.277,2223.58,994.8,340.4,1335.2,60.0,MODERATE
0.404,0.277,2223.58,898.34,367.13,1265.46,56.9,MODERATE
0.4938,0.277,2223.58,1097.93,311.83,1409.76,63.4,MODERATE
0.4391,0.277,2223.58,976.31,345.52,1321.83,59.4,MODERATE
0.6684,0.277,2223.58,1486.23,204.27,1690.49,76.0,CRITICAL
0.3556,0.277,2223.58,790.8,396.92,1187.71,53.4,LOW
0.4343,0.277,2223.58,965.62,348.49,1314.1,59.1,MODERATE
0.3302,0.277,2223.58,734.2,412.6,1146.79,51.6,LOW
0.5598,0.277,2223.58,1244.72,271.17,1515.89,68.2,HIGH
0.3888,0.277,2223.58,864.56,376.48,1241.04,55.8,MODERATE
0.4744,0.277,2223.58,1054.91,323.75,1378.66,62.0,MODERATE
0.4957,0.277,2223.58,1102.28,310.63,1412.91,63.5,MODERATE
0.4593,0.277,2223.58,1021.3,333.06,1354.36,60.9,MODERATE
0.5383,0.277,2223.58,1197.0,284.39,1481.39,66.6,HIGH
0.4276,0.277,2223.58,950.72,352.61,1303.33,58.6,MODERATE
0.4163,0.277,2223.58,925.64,359.56,1285.2,57.8,MODERATE
0.5663,0.277,2223.58,1259.31,267.13,1526.44,68.6,HIGH
0.5159,0.277,2223.58,1147.2,298.18,1445.38,65.0,HIGH
0.5677,0.277,2223.58,1262.27,266.31,1528.57,68.7,HIGH
0.5797,0.277,2223.58,1289.09,258.88,1547.97,69.6,HIGH
0.5275,0.277,2223.58,1172.88,291.07,1463.95,65.8,HIGH
0.4111,0.277,2223.58,914.05,362.77,1276.82,57.4,MODERATE
0.4086,0.277,2223.58,908.66,364.27,1272.92,57.2,MODERATE
0.4884,0.277,2223.58,1086.02,315.13,1401.15,63.0,MODERATE
0.4344,0.277,2223.58,965.88,348.41,1314.3,59.1,MODERATE
0.4179,0.277,2223.58,929.16,358.59,1287.75,57.9,MODERATE
0.6016,0.277,2223.58,1337.78,245.39,1583.17,71.2,HIGH
0.4994,0.277,2223.58,1110.52,308.35,1418.86,63.8,MODERATE
0.5818,0.277,2223.58,1293.61,257.63,1551.23,69.8,HIGH
0.5745,0.277,2223.58,1277.48,262.09,1539.57,69.2,HIGH
0.3781,0.277,2223.58,840.63,383.11,1223.74,55.0,MODERATE
0.2364,0.277,2223.58,525.59,470.38,995.98,44.8,LOW
0.5364,0.277,2223.58,1192.65,285.59,1478.25,66.5,HIGH
0.4558,0.277,2223.58,1013.51,335.22,1348.73,60.7,MODERATE
0.5239,0.277,2223.58,1165.04,293.24,1458.28,65.6,HIGH
0.5281,0.277,2223.58,1174.16,290.71,1464.88,65.9,HIGH
0.3899,0.277,2223.58,867.01,375.8,1242.81,55.9,MODERATE
0.5366,0.277,2223.58,1193.23,285.43,1478.66,66.5,HIGH
0.4319,0.277,2223.58,960.42,349.93,1310.35,58.9,MODERATE
0.4844,0.277,2223.58,1077.14,317.59,1394.73,62.7,MODERATE
0.5282,0.277,2223.58,1174.54,290.61,1465.15,65.9,HIGH
0.4457,0.277,2223.58,991.13,341.42,1332.55,59.9,MODERATE
0.5612,0.277,2223.58,1247.97,270.27,1518.24,68.3,HIGH
0.5351,0.277,2223.58,1189.9,286.35,1476.25,66.4,HIGH
0.6741,0.277,2223.58,1498.95,200.74,1699.69,76.4,CRITICAL
0.4592,0.277,2223.58,1021.13,333.11,1354.24,60.9,MODERATE
0.4837,0.277,2223.58,1075.49,318.05,1393.54,62.7,MODERATE
0.6146,0.277,2223.58,1366.5,237.43,1603.94,72.1,CRITICAL
0.4732,0.277,2223.58,1052.19,324.5,1376.69,61.9,MODERATE
0.5386,0.277,2223.58,1197.59,284.22,1481.82,66.6,HIGH
0.2144,0.277,2223.58,476.71,483.92,960.64,43.2,LOW
0.6014,0.277,2223.58,1337.19,245.55,1582.74,71.2,HIGH
0.4954,0.277,2223.58,1101.46,310.86,1412.31,63.5,MODERATE
0.4312,0.277,2223.58,958.86,350.36,1309.22,58.9,MODERATE
0.4767,0.277,2223.58,1059.87,322.38,1382.25,62.2,MODERATE
0.4743,0.277,2223.58,1054.72,323.8,1378.52,62.0,MODERATE
0.5347,0.277,2223.58,1188.96,286.62,1475.57,66.4,HIGH
0.5166,0.277,2223.58,1148.72,297.76,1446.49,65.1,HIGH
0.4427,0.277,2223.58,984.34,343.3,1327.64,59.7,MODERATE
0.4517,0.277,2223.58,1004.38,337.75,1342.13,60.4,MODERATE
0.4271,0.277,2223.58,949.63,352.91,1302.55,58.6,MODERATE
0.5169,0.277,2223.58,1149.35,297.59,1446.94,65.1,HIGH
0.5578,0.277,2223.58,1240.39,272.37,1512.76,68.0,HIGH
0.3214,0.277,2223.58,714.57,418.03,1132.6,50.9,LOW
0.5314,0.277,2223.58,1181.63,288.65,1470.28,66.1,HIGH
0.4695,0.277,2223.58,1044.02,326.77,1370.79,61.6,MODERATE
0.416,0.277,2223.58,925.07,359.72,1284.79,57.8,MODERATE
0.4188,0.277,2223.58,931.21,358.02,1289.23,58.0,MODERATE
0.5141,0.277,2223.58,1143.1,299.32,1442.42,64.9,MODERATE
0.4565,0.277,2223.58,1015.06,334.79,1349.85,60.7,MODERATE
0.6718,0.277,2223.58,1493.87,202.15,1696.02,76.3,CRITICAL
0.7377,0.277,2223.58,1640.39,161.56,1801.95,81.0,CRITICAL
0.5718,0.277,2223.58,1271.54,263.74,1535.28,69.0,HIGH
0.4884,0.277,2223.58,1085.99,315.14,1401.13,63.0,MODERATE
0.5454,0.277,2223.58,1212.74,280.03,1492.77,67.1,HIGH
0.3984,0.277,2223.58,885.94,370.56,1256.5,56.5,MODERATE
0.6258,0.277,2223.58,1391.54,230.5,1622.04,72.9,CRITICAL
0.4866,0.277,2223.58,1082.09,316.22,1398.31,62.9,MODERATE
0.455,0.277,2223.58,1011.81,335.69,1347.5,60.6,MODERATE
0.3865,0.277,2223.58,859.33,377.93,1237.26,55.6,MODERATE
0.6201,0.277,2223.58,1378.81,234.02,1612.83,72.5,CRITICAL
0.3997,0.277,2223.58,888.85,369.75,1258.61,56.6,MODERATE
0.4038,0.277,2223.58,897.93,367.24,1265.16,56.9,MODERATE
0.5071,0.277,2223.58,1127.67,303.59,1431.27,64.4,MODERATE
0.6153,0.277,2223.58,1368.17,236.97,1605.14,72.2,CRITICAL
0.4122,0.277,2223.58,916.56,362.08,1278.64,57.5,MODERATE
0.4943,0.277,2223.58,1099.03,311.53,1410.56,63.4,MODERATE
0.566,0.277,2223.58,1258.55,267.34,1525.89,68.6,HIGH
0.4962,0.277,2223.58,1103.32,310.34,1413.66,63.6,MODERATE
0.4187,0.277,2223.58,930.93,358.1,1289.02,58.0,MODERATE
0.6398,0.277,2223.58,1422.64,221.88,1644.52,74.0,CRITICAL
0.3734,0.277,2223.58,830.21,386.0,1216.21,54.7,LOW
0.4273,0.277,2223.58,950.07,352.79,1302.86,58.6,MODERATE
0.5147,0.277,2223.58,1144.51,298.93,1443.44,64.9,MODERATE
0.4285,0.277,2223.58,952.78,352.04,1304.82,58.7,MODERATE
0.4523,0.277,2223.58,1005.74,337.37,1343.11,60.4,MODERATE
0.4198,0.277,2223.58,933.54,357.37,1290.91,58.1,MODERATE
0.3775,0.277,2223.58,839.47,383.43,1222.9,55.0,LOW
0.6269,0.277,2223.58,1393.96,229.83,1623.79,73.0,CRITICAL
0.3009,0.277,2223.58,669.05,430.64,1099.7,49.5,LOW
0.4779,0.277,2223.58,1062.55,321.64,1384.18,62.3,MODERATE
0.3964,0.277,2223.58,881.47,371.8,1253.27,56.4,MODERATE
0.5983,0.277,2223.58,1330.29,247.46,1577.76,71.0,HIGH
0.4002,0.277,2223.58,889.89,369.47,1259.35,56.6,MODERATE
0.5177,0.277,2223.58,1151.04,297.12,1448.16,65.1,HIGH
0.4435,0.277,2223.58,986.16,342.8,1328.95,59.8,MODERATE
0.3891,0.277,2223.58,865.15,376.32,1241.47,55.8,MODERATE
0.556,0.277,2223.58,1236.3,273.5,1509.8,67.9,HIGH
0.3215,0.277,2223.58,714.87,417.95,1132.82,50.9,LOW
0.4106,0.277,2223.58,912.9,363.09,1275.99,57.4,MODERATE
0.409,0.277,2223.58,909.4,364.06,1273.46,57.3,MODERATE
0.6309,0.277,2223.58,1402.88,227.35,1630.24,73.3,CRITICAL
0.5573,0.277,2223.58,1239.17,272.71,1511.88,68.0,HIGH
0.6837,0.277,2223.58,1520.24,194.84,1715.08,77.1,CRITICAL
0.5678,0.277,2223.58,1262.61,266.21,1528.82,68.8,HIGH
0.3902,0.277,2223.58,867.67,375.62,1243.29,55.9,MODERATE
0.3736,0.277,2223.58,830.73,385.85,1216.58,54.7,LOW
0.5625,0.277,2223.58,1250.75,269.5,1520.24,68.4,HIGH
0.4518,0.277,2223.58,1004.67,337.67,1342.34,60.4,MODERATE
0.4245,0.277,2223.58,943.83,354.52,1298.35,58.4,MODERATE
0.4206,0.277,2223.58,935.17,356.92,1292.09,58.1,MODERATE
0.3531,0.277,2223.58,785.2,398.47,1183.67,53.2,LOW
0.4706,0.277,2223.58,1046.48,326.09,1372.56,61.7,MODERATE
0.4992,0.277,2223.58,1110.1,308.46,1418.56,63.8,MODERATE
0.4918,0.277,2223.58,1093.58,313.04,1406.62,63.3,MODERATE
0.5358,0.277,2223.58,1191.42,285.93,1477.35,66.4,HIGH
0.4952,0.277,2223.58,1101.16,310.94,1412.1,63.5,MODERATE
0.3202,0.277,2223.58,712.07,418.72,1130.8,50.9,LOW
0.6897,0.277,2223.58,1533.51,191.17,1724.67,77.6,CRITICAL
0.684,0.277,2223.58,1520.91,194.66,1715.56,77.2,CRITICAL
0.5906,0.277,2223.58,1313.33,252.16,1565.49,70.4,HIGH
0.4725,0.277,2223.58,1050.7,324.92,1375.62,61.9,MODERATE
0.6116,0.277,2223.58,1359.93,239.25,1599.18,71.9,HIGH
0.5765,0.277,2223.58,1281.82,260.89,1542.71,69.4,HIGH
0.5389,0.277,2223.58,1198.24,284.05,1482.28,66.7,HIGH
0.3839,0.277,2223.58,853.69,379.49,1233.18,55.5,MODERATE
0.4855,0.277,2223.58,1079.47,316.95,1396.42,62.8,MODERATE
0.6001,0.277,2223.58,1334.35,246.34,1580.69,71.1,HIGH
0.3273,0.277,2223.58,727.81,414.36,1142.18,51.4,LOW
0.6317,0.277,2223.58,1404.58,226.88,1631.46,73.4,CRITICAL
0.5968,0.277,2223.58,1327.14,248.34,1575.48,70.9,HIGH
0.5178,0.277,2223.58,1151.37,297.03,1448.4,65.1,HIGH
0.4054,0.277,2223.58,901.38,366.28,1267.66,57.0,MODERATE
0.4715,0.277,2223.58,1048.46,325.54,1374.0,61.8,MODERATE
0.4936,0.277,2223.58,1097.53,311.94,1409.47,63.4,MODERATE
0.4152,0.277,2223.58,923.15,360.25,1283.4,57.7,MODERATE
0.6913,0.277,2223.58,1537.06,190.18,1727.24,77.7,CRITICAL
0.4842,0.277,2223.58,1076.75,317.7,1394.45,62.7,MODERATE
0.6274,0.277,2223.58,1395.15,229.49,1624.65,73.1,CRITICAL
0.4145,0.277,2223.58,921.73,360.64,1282.38,57.7,MODERATE
0.5659,0.277,2223.58,1258.27,267.41,1525.68,68.6,HIGH
0.4593,0.277,2223.58,1021.21,333.09,1354.3,60.9,MODERATE
0.69,0.277,2223.58,1534.18,190.98,1725.16,77.6,CRITICAL
0.3858,0.277,2223.58,857.84,378.34,1236.18,55.6,MODERATE
0.2915,0.277,2223.58,648.2,436.42,1084.62,48.8,LOW
0.4396,0.277,2223.58,977.45,345.21,1322.66,59.5,MODERATE
0.4073,0.277,2223.58,905.62,365.11,1270.73,57.1,MODERATE
0.6168,0.277,2223.58,1371.53,236.04,1607.57,72.3,CRITICAL
0.5627,0.277,2223.58,1251.14,269.39,1520.53,68.4,HIGH
0.6026,0.277,2223.58,1339.9,244.8,1584.7,71.3,HIGH
0.4187,0.277,2223.58,930.93,358.1,1289.02,58.0,MODERATE
0.3128,0.277,2223.58,695.49,423.32,1118.81,50.3,LOW
0.4553,0.277,2223.58,1012.49,335.5,1347.99,60.6,MODERATE
0.5305,0.277,2223.58,1179.65,289.19,1468.84,66.1,HIGH
0.3713,0.277,2223.58,825.66,387.26,1212.92,54.5,LOW
0.5053,0.277,2223.58,1123.6,304.72,1428.33,64.2,MODERATE
0.4581,0.277,2223.58,1018.56,333.82,1352.38,60.8,MODERATE
0.5026,0.277,2223.58,1117.66,306.37,1424.03,64.0,MODERATE
0.6126,0.277,2223.58,1362.18,238.63,1600.81,72.0,HIGH
0.6279,0.277,2223.58,1396.23,229.2,1625.43,73.1,CRITICAL
0.2332,0.277,2223.58,518.56,472.33,990.89,44.6,LOW
0.3924,0.277,2223.58,872.48,374.29,1246.77,56.1,MODERATE
0.5528,0.277,2223.58,1229.1,275.5,1504.59,67.7,HIGH
0.609,0.277,2223.58,1354.27,240.82,1595.09,71.7,HIGH
0.5059,0.277,2223.58,1125.02,304.33,1429.34,64.3,MODERATE
0.4417,0.277,2223.58,982.08,343.93,1326.01,59.6,MODERATE
0.4381,0.277,2223.58,974.1,346.14,1320.24,59.4,MODERATE
0.4009,0.277,2223.58,891.49,369.02,1260.51,56.7,MODERATE
0.46,0.277,2223.58,1022.82,332.64,1355.46,61.0,MODERATE
0.5558,0.277,2223.58,1235.83,273.63,1509.46,67.9,HIGH
0.6065,0.277,2223.58,1348.54,242.41,1590.94,71.5,HIGH
0.3319,0.277,2223.58,737.9,411.57,1149.47,51.7,LOW
0.437,0.277,2223.58,971.64,346.82,1318.46,59.3,MODERATE
0.5224,0.277,2223.58,1161.61,294.19,1455.8,65.5,HIGH
0.4978,0.277,2223.58,1106.81,309.37,1416.18,63.7,MODERATE
0.5958,0.277,2223.58,1324.89,248.96,1573.85,70.8,HIGH
0.4788,0.277,2223.58,1064.67,321.05,1385.72,62.3,MODERATE
0.3782,0.277,2223.58,841.01,383.01,1224.01,55.0,MODERATE
0.5491,0.277,2223.58,1220.96,277.75,1498.71,67.4,HIGH
0.6263,0.277,2223.58,1392.57,230.21,1622.78,73.0,CRITICAL
0.5762,0.277,2223.58,1281.15,261.08,1542.22,69.4,HIGH
0.4296,0.277,2223.58,955.28,351.35,1306.63,58.8,MODERATE
0.4521,0.277,2223.58,1005.19,337.52,1342.72,60.4,MODERATE
0.5188,0.277,2223.58,1153.54,296.43,1449.97,65.2,HIGH
0.4414,0.277,2223.58,981.46,344.1,1325.56,59.6,MODERATE
0.5287,0.277,2223.58,1175.71,290.29,1466.0,65.9,HIGH
0.2823,0.277,2223.58,627.76,442.08,1069.84,48.1,LOW
0.4197,0.277,2223.58,933.28,357.45,1290.72,58.0,MODERATE
0.3369,0.277,2223.58,749.17,408.45,1157.61,52.1,LOW
0.4246,0.277,2223.58,944.22,354.41,1298.64,58.4,MODERATE
0.5917,0.277,2223.58,1315.6,251.53,1567.14,70.5,HIGH
0.489,0.277,2223.58,1087.42,314.74,1402.16,63.1,MODERATE
0.6126,0.277,2223.58,1362.21,238.62,1600.83,72.0,HIGH
0.4965,0.277,2223.58,1103.92,310.17,1414.09,63.6,MODERATE
0.5531,0.277,2223.58,1229.82,275.3,1505.11,67.7,HIGH
0.4546,0.277,2223.58,1010.74,335.99,1346.73,60.6,MODERATE
0.5451,0.277,2223.58,1212.11,280.2,1492.31,67.1,HIGH
0.5198,0.277,2223.58,1155.73,295.82,1451.55,65.3,HIGH
0.5619,0.277,2223.58,1249.32,269.89,1519.22,68.3,HIGH
0.4104,0.277,2223.58,912.6,363.17,1275.77,57.4,MODERATE
0.7155,0.277,2223.58,1590.97,175.25,1766.22,79.4,CRITICAL
0.3996,0.277,2223.58,888.48,369.86,1258.33,56.6,MODERATE
0.6414,0.277,2223.58,1426.3,220.87,1647.17,74.1,CRITICAL
0.3936,0.277,2223.58,875.18,373.54,1248.72,56.2,MODERATE
0.4162,0.277,2223.58,925.38,359.63,1285.01,57.8,MODERATE
0.6058,0.277,2223.58,1347.05,242.82,1589.87,71.5,HIGH
0.6307,0.277,2223.58,1402.42,227.48,1629.9,73.3,CRITICAL
0.4658,0.277,2223.58,1035.64,329.09,1364.73,61.4,MODERATE
0.5176,0.277,2223.58,1150.92,297.15,1448.07,65.1,HIGH
0.5,0.277,2223.58,1111.69,308.02,1419.71,63.8,MODERATE
0.3282,0.277,2223.58,729.84,413.8,1143.64,51.4,LOW
0.6079,0.277,2223.58,1351.66,241.54,1593.2,71.7,HIGH
0.3382,0.277,2223.58,752.1,407.63,1159.74,52.2,LOW
0.6241,0.277,2223.58,1387.66,231.57,1619.23,72.8,CRITICAL
0.4315,0.277,2223.58,959.48,350.19,1309.67,58.9,MODERATE
0.4619,0.277,2223.58,1027.12,331.45,1358.57,61.1,MODERATE
0.5645,0.277,2223.58,1255.11,268.29,1523.4,68.5,HIGH
0.5528,0.277,2223.58,1229.25,275.45,1504.71,67.7,HIGH
0.5735,0.277,2223.58,1275.32,262.69,1538.01,69.2,HIGH
0.4271,0.277,2223.58,949.69,352.9,1302.59,58.6,MODERATE
0.4241,0.277,2223.58,943.02,354.75,1297.77,58.4,MODERATE
0.3792,0.277,2223.58,843.13,382.42,1225.55,55.1,MODERATE
0.5612,0.277,2223.58,1247.94,270.28,1518.22,68.3,HIGH
0.38,0.277,2223.58,845.02,381.9,1226.91,55.2,MODERATE
0.5656,0.277,2223.58,1257.69,267.58,1525.27,68.6,HIGH
0.5806,0.277,2223.58,1291.05,258.33,1549.38,69.7,HIGH
0.4399,0.277,2223.58,978.24,344.99,1323.23,59.5,MODERATE
0.617,0.277,2223.58,1371.91,235.93,1607.84,72.3,CRITICAL
0.7137,0.277,2223.58,1586.96,176.36,1763.32,79.3,CRITICAL
0.5519,0.277,2223.58,1227.09,276.05,1503.14,67.6,HIGH
0.4001,0.277,2223.58,889.71,369.51,1259.22,56.6,MODERATE
0.5202,0.277,2223.58,1156.76,295.54,1452.29,65.3,HIGH
0.5979,0.277,2223.58,1329.53,247.67,1577.21,70.9,HIGH
0.5716,0.277,2223.58,1270.9,263.92,1534.81,69.0,HIGH
0.4699,0.277,2223.58,1044.92,326.52,1371.44,61.7,MODERATE
0.5232,0.277,2223.58,1163.35,293.71,1457.06,65.5,HIGH
0.3843,0.277,2223.58,854.46,379.28,1233.74,55.5,MODERATE
0.5767,0.277,2223.58,1282.44,260.72,1543.16,69.4,HIGH
0.6807,0.277,2223.58,1513.59,196.69,1710.27,76.9,CRITICAL
0.4006,0.277,2223.58,890.74,369.23,1259.97,56.7,MODERATE
0.3959,0.277,2223.58,880.32,372.12,1252.43,56.3,MODERATE
0.3407,0.277,2223.58,757.68,406.09,1163.77,52.3,LOW
0.5286,0.277,2223.58,1175.37,290.38,1465.75,65.9,HIGH
0.4439,0.277,2223.58,987.12,342.53,1329.65,59.8,MODERATE
0.5596,0.277,2223.58,1244.31,271.28,1515.59,68.2,HIGH
0.5893,0.277,2223.58,1310.42,252.97,1563.39,70.3,HIGH
0.655,0.277,2223.58,1456.43,212.52,1668.95,75.1,CRITICAL
0.3261,0.277,2223.58,725.04,415.13,1140.17,51.3,LOW
